,state,agri,bank,const,ind,manu,serv
0,A & N ISLANDS,26823.15003327935,12081.56866576725,60022.41559309842,88680.59079693345,5144.62278384282,272711.71731196303
1,ANDHRA PRADESH,5620358.756100655,1784975.0,3727933.9999999995,8773432.0,2952338.0,16374320.0
2,ARUNACHAL PRADESH,302935.0,23670.0,118550.0,236276.0,19513.0,461996.0
3,ASSAM,2159142.0,487925.0,1398606.0,4105976.0,1496222.0,6904408.0
4,BIHAR,3094232.386182581,1057269.6104996228,2562460.5845480054,4758928.18476429,1704185.5691003457,16773910.3932584
5,CHANDIGARH,506.0,334036.0,107346.0,253121.0,126476.0,1857362.0
6,CHHATTISGARH,1849289.0,663301.0,1732939.0,8029440.0,3692510.0,5642897.950170928
7,DELHI,28517.932628543967,6552839.0,1543009.5661066496,4977440.837100161,2149011.56929281,27750620.08191523
8,GOA,96625.64284675746,209671.0,133662.8513247675,1219656.6789979907,972641.4465946076,1263121.800895451
9,GUJARAT,7953962.966814391,4069673.0000000005,4802615.047597702,25099404.574142598,16715668.398298286,23836951.984008387
10,HARYANA,3242458.262282158,1571197.0,2861020.4123933786,9004905.271817133,5997604.063753387,14771173.781539023
11,HIMACHAL PRADESH,582045.3071830508,325362.0,717066.9545178119,3031216.126079885,1852140.6031781891,2955749.450881055
12,JAMMU AND KASHMIR,346231.9718081956,351729.0,573875.9399145604,1787617.3860945562,624682.7586344563,3845122.59492735
13,JHARKHAND,1380658.0,494916.0,1425414.0,6754764.0,3444791.0,6155457.0
14,KARNATAKA,4984049.250148897,3841147.044343502,5032873.337663944,16314652.949726537,9927574.208224777,37843526.978636086
15,KERALA,1739130.0,1807151.1494829792,5668284.520766349,9734856.715780005,3325922.3931513205,22249700.0257625
16,MADHYA PRADESH,8911258.0,1866896.0,3420792.0,7807124.0,2784917.0,12873118.0
17,MAHARASHTRA,8203007.2787031075,14469702.610369604,7466237.481105276,38945792.65638859,24714618.25532943,62957065.20772557
18,MANIPUR,140557.35,27207.0,121951.0,189989.0,33992.0,869847.0
19,MEGHALAYA,183906.92219163917,60308.61353094866,109384.0,562222.9512063025,356714.055417033,874508.9283639882
20,MIZORAM,81830.68961098399,20793.0,104665.0,180017.3810526316,5921.0,476529.6108009153
21,NAGALAND,230920.02659536322,54202.0,90842.66362911908,122699.51498855819,9487.788293394695,685537.302996951
22,ODISHA,2869362.635782004,1000604.7479923065,2014515.2222296514,8833299.647552926,4174363.5902870777,9241625.453872208
23,PUDUCHERRY,14312.0,64846.0,257337.0,804118.0,520303.0,719017.0
24,PUNJAB,4594244.691,1713089.4545744774,1860456.0,5740029.6196,3338374.0,12477765.814934889
25,RAJASTHAN,6641471.5625557015,1639408.7378672138,4324078.523244588,12648219.190600108,4782737.68175237,18955934.614651278
26,SIKKIM,71394.94013136605,18919.0,66355.10918877953,648425.6380561326,454333.92470981495,346158.55018343707
27,TAMIL NADU,4940907.700594965,5024629.0,9722190.526224256,23139111.00549199,12918030.361830663,38348795.51303758
28,TELANGANA,2622461.0,2842200.0,2327367.0,8677627.0,4818016.0,21172181.0
29,TRIPURA,374817.0,68000.0,172399.0,456475.0,112722.0,1099490.051
30,UTTAR PRADESH,10531538.0,2724162.0,8707349.0,19104497.0,9086646.0,33500919.653047312
31,UTTARAKHAND,587808.0,320452.0,958495.0,6109260.0,4723771.0,4074529.0
32,WEST BENGAL,,,,,,
